transactionID,name,amount,country,dateTime
TXN001,Office Supplies Inc,250.00,US,2024-01-15T10:30:00Z
TXN002,Revenue from Client A,1500.00,US,2024-01-16T14:20:00Z
TXN003,Travel Expense,675.00,US,2024-01-17T08:15:00Z
TXN004,Payroll,3200.00,US,2024-01-18T09:00:00Z
TXN005,Client B Payment,2200.00,US,2024-01-19T11:30:00Z
TXN006,Software License,149.99,US,2024-01-20T13:45:00Z
TXN007,Suspicious Transfer,999.99,US,2024-01-21T02:20:00Z
TXN008,Marketing Agency,800.00,US,2024-01-22T15:10:00Z
TXN009,Utility Bill,180.00,US,2024-01-23T12:00:00Z
TXN010,Client C Revenue,3100.00,US,2024-01-24T10:45:00Z
TXN011,Equipment Purchase,1200.00,US,2024-01-25T14:00:00Z
TXN012,Bank Fee,15.00,US,2024-01-26T16:30:00Z
TXN013,Insurance,275.00,US,2024-01-27T09:20:00Z
TXN014,Overseas Client,1800.00,CA,2024-01-28T11:15:00Z
TXN015,Round Amount Transfer,5000.00,US,2024-01-29T20:45:00Z
