transactionID,name,amount,country,dateTime
TXN001,Cash Withdrawal,1000.00,US,2024-01-15T02:30:00Z
TXN002,Unknown Vendor,2500.00,US,2024-01-16T01:15:00Z
TXN003,High Risk Country Transfer,5000.00,IR,2024-01-17T03:45:00Z
TXN004,Round Dollar Payment,10000.00,US,2024-01-18T22:00:00Z
TXN005,Supplier Alpha,1500.00,US,2024-01-19T23:30:00Z
TXN006,ATM Fee,5.00,US,2024-01-20T00:10:00Z
TXN007,Wire Transfer,7500.00,US,2024-01-21T04:20:00Z
TXN008,Overseas Payment,3200.00,CA,2024-01-22T02:50:00Z
TXN009,Large Cash Deposit,8000.00,US,2024-01-23T01:30:00Z
TXN010,Supplier Beta,2200.00,US,2024-01-24T03:15:00Z
TXN011,International Wire,4500.00,GB,2024-01-25T22:45:00Z
TXN012,High Frequency Vendor,800.00,US,2024-01-26T23:00:00Z
TXN013,High Frequency Vendor,800.00,US,2024-01-26T23:05:00Z
TXN014,High Frequency Vendor,800.00,US,2024-01-26T23:10:00Z
TXN015,High Frequency Vendor,800.00,US,2024-01-26T23:15:00Z
