transactionID,name,amount,country,dateTime
TXN001,Office Depot,150.00,US,2024-01-15T10:30:00Z
TXN002,Amazon Web Services,299.99,US,2024-01-16T14:20:00Z
TXN003,United Airlines,450.00,US,2024-01-17T08:15:00Z
TXN004,Payroll Services,2500.00,US,2024-01-18T09:00:00Z
TXN005,ABC Restaurant,85.50,US,2024-01-19T19:30:00Z
TXN006,Microsoft Office,99.00,US,2024-01-20T11:45:00Z
TXN007,FedEx Shipping,75.25,US,2024-01-21T16:20:00Z
TXN008,Google Ads,200.00,US,2024-01-22T13:10:00Z
TXN009,Electric Company,125.00,US,2024-01-23T12:00:00Z
TXN010,Supplier XYZ,500.00,US,2024-01-24T15:45:00Z
TXN011,QuickBooks Subscription,29.99,US,2024-01-25T10:00:00Z
TXN012,Coffee Shop,12.50,US,2024-01-26T08:30:00Z
TXN013,Bank Fee,25.00,US,2024-01-27T14:00:00Z
TXN014,Insurance Premium,180.00,US,2024-01-28T11:20:00Z
TXN015,Supplier ABC,750.00,US,2024-01-29T16:15:00Z
